" ";"Instrument";"Test";"QC";"QC lot No.";"Target mean";"Target SD";"SDI";"Number of values";"Bias";"Calculated mean";"Calculated SD";"CV%";"Usage"
"";"C6000-B:C2";"ADENOSINE DEAMINASE FLUID";"ADA 1";"101220";"29,800";"1,800";"0,382";"23";"0,023";"30,487";"0,597";"1,959";"In use"
"";"C6000-B:C2";"ADENOSINE DEAMINASE FLUID";"ADA 2";"201220";"141,000";"8,000";"0,306";"23";"0,017";"143,448";"7,007";"4,885";"In use"
"";"C6000-B:C2";"ADENOSINE DEAMINASE FLUID";"ADA 0";"01220";"11,300";"0,600";"0,217";"23";"0,012";"11,430";"0,365";"3,192";"In use"
"";"C6000-A:E1-1";"ADRENOCORTICOTROPIC HORMONE";"PC MM1";"563238";"9,500";"0,500";"0,500";"5";"0,026";"9,750";"0,327";"3,357";"In use"
"";"C6000-A:E1-1";"ADRENOCORTICOTROPIC HORMONE";"PC MM2";"563239";"207,300";"10,800";"0,037";"5";"0,002";"207,700";"8,132";"3,915";"In use"
"";"C6000-A:C1";"ALANINE TRANSAMINASE";"PCCC 1";"525205";"48,900";"2,900";"-0,584";"51";"-0,035";"47,206";"1,214";"2,573";"In use"
"";"C6000-A:C1";"ALANINE TRANSAMINASE";"PCCC 2";"535719";"127,000";"8,000";"-0,780";"47";"-0,049";"120,760";"3,924";"3,249";"In use"
"";"C6000-B:C2";"ALANINE TRANSAMINASE";"PCCC 2-B";"535719";"127,000";"8,000";"-0,632";"41";"-0,040";"121,941";"4,897";"4,016";"In use"
"";"C6000-B:C2";"ALANINE TRANSAMINASE";"PCCC 1-B";"525205";"48,900";"2,900";"-0,480";"47";"-0,028";"47,509";"1,637";"3,445";"In use"
"";"C6000-B:C2";"ALBUMIN";"s-PCCC 2-B";"535719";"48,800";"2,900";"-0,133";"67";"-0,008";"48,415";"1,533";"3,166";"In use"
"";"C6000-A:C1";"ALBUMIN";"PCCC 1";"525205";"32,100";"1,900";"0,217";"44";"0,013";"32,511";"1,153";"3,545";"In use"
"";"C6000-A:C1";"ALBUMIN";"PCCC 2";"535719";"48,800";"2,900";"0,073";"43";"0,004";"49,012";"1,589";"3,242";"In use"
"";"C6000-B:C2";"ALBUMIN";"s-PCCC 1-B";"525205";"32,100";"1,900";"-0,256";"68";"-0,015";"31,613";"1,013";"3,204";"In use"
"";"C6000-A:C1";"ALBUMIN CSF";"PPPUC TPC3";"646927";"116,000";"9,000";"0,787";"47";"0,061";"123,081";"5,580";"4,534";"In use"
"";"C6000-A:C1";"ALBUMIN CSF";"LIQ SFC2";"56532";"318,100";"13,400";"-0,939";"45";"-0,040";"305,522";"9,848";"3,223";"In use"
"";"C6000-A:C1";"ALBUMIN URINE";"Ran-Liq 2";"1209UC";"24,100";"2,400";"-0,703";"8";"-0,070";"22,413";"0,874";"3,900";"Study"
"";"C6000-A:C1";"ALBUMIN URINE";"Ran-Liq 3";"1210UC";"64,100";"6,400";"-0,172";"8";"-0,017";"63,000";"1,714";"2,720";"Study"
"";"C6000-A:C1";"ALBUMIN URINE";"Ran-Liq 3";"1238UC";"62,400";"6,250";"0,036";"35";"0,004";"62,623";"1,446";"2,310";"In use"
"";"C6000-A:C1";"ALBUMIN URINE";"Ran-Liq 2";"1237UC";"24,000";"2,400";"0,096";"38";"0,010";"24,232";"1,417";"5,848";"In use"
"";"LIAISON XL";"ALDO";"ALDO L1";"229352";"178,390";"17,820";"1,227";"8";"0,123";"200,250";"16,816";"8,398";"In use"
"";"LIAISON XL";"ALDO";"ALDO L2";"230352";"918,235";"91,878";"0,445";"7";"0,045";"959,143";"39,541";"4,123";"In use"
"";"C6000-B:C2";"ALKALINE PHOSPHATASE";"s-PCCC 2-B";"535719";"267,000";"16,000";"-0,762";"70";"-0,046";"254,814";"7,024";"2,757";"In use"
"";"C6000-A:C1";"ALKALINE PHOSPHATASE";"s-PCCC 2";"535719";"267,000";"16,000";"-0,581";"70";"-0,035";"257,700";"9,177";"3,561";"In use"
"";"C6000-A:C1";"ALKALINE PHOSPHATASE";"s-PCCC 1";"525205";"101,000";"6,000";"-0,734";"74";"-0,044";"96,595";"4,614";"4,776";"In use"
"";"C6000-B:C2";"ALKALINE PHOSPHATASE";"s-PCCC 1-B";"525205";"101,000";"6,000";"-0,876";"70";"-0,052";"95,743";"3,829";"3,999";"In use"
"";"C6000-B:C2";"ALPHA 1-ANTITRYPSIN";"PCCC 2-B";"535719";"1,320";"0,110";"0,296";"29";"0,025";"1,353";"0,019";"1,420";"In use"
"";"C6000-B:C2";"ALPHA 1-ANTITRYPSIN";"PCCC 1-B";"525205";"0,883";"0,071";"0,458";"35";"0,037";"0,916";"0,015";"1,639";"In use"
"";"C6000-A:E1-1";"ALPHA-FETO PROTEIN";"RIAP L3";"2181EC";"218,000";"22,000";"-0,369";"37";"-0,037";"209,876";"7,808";"3,720";"In use"
"";"C6000-A:E1-1";"ALPHA-FETO PROTEIN";"RIAP L1";"2179EC";"10,600";"1,040";"-0,357";"36";"-0,035";"10,229";"0,575";"5,620";"In use"
"";"C6000-B:C2";"AMMONIA";"AMM-N";"644004";"62,500";"4,200";"0,254";"34";"0,017";"63,566";"1,733";"2,726";"In use"
"";"C6000-B:C2";"AMMONIA";"AMM-P";"644006";"228,000";"15,000";"0,029";"35";"0,002";"228,442";"3,354";"1,468";"In use"
"";"C6000-A:E2-2";"Anti-Mullerian Hormone";"PC AMH 1";"670151";"8,000";"0,560";"-0,190";"6";"-0,013";"7,893";"0,207";"2,624";"In use"
"";"C6000-A:E2-2";"Anti-Mullerian Hormone";"PC AMH 2";"670154";"39,700";"1,990";"-0,104";"6";"-0,005";"39,493";"1,468";"3,717";"In use"
"";"C6000-A:E2-1";"ANTI-THYROGLOBULIN AB";"PC THYRO1";"669238";"58,000";"5,800";"0,759";"28";"0,076";"62,404";"2,520";"4,038";"In use"
"";"C6000-A:E2-1";"ANTI-THYROGLOBULIN AB";"PC THYRO2";"669239";"195,000";"19,500";"0,402";"28";"0,040";"202,836";"9,586";"4,726";"In use"
"";"C6000-A:E1-1";"ANTI-THYROID PEROXIDASE AB";"PC THYRO1";"669238";"47,300";"4,730";"0,568";"9";"0,057";"49,987";"4,824";"9,652";"In use"
"";"C6000-A:E1-1";"ANTI-THYROID PEROXIDASE AB";"PC THYRO2";"669239";"109,000";"7,630";"0,740";"9";"0,052";"114,644";"5,843";"5,097";"In use"
"";"C6000-B:C2";"APOPROTEIN A";"PCCC 2-B";"535719";"1,660";"0,130";"0,358";"10";"0,028";"1,707";"0,058";"3,399";"In use"
"";"C6000-B:C2";"APOPROTEIN A";"PCCC 1-B";"525205";"1,100";"0,090";"0,319";"10";"0,026";"1,129";"0,044";"3,894";"In use"
"";"C6000-B:C2";"APOPROTEIN B";"PCCC 2-B";"535719";"0,762";"0,061";"0,220";"9";"0,018";"0,775";"0,012";"1,546";"In use"
"";"C6000-B:C2";"APOPROTEIN B";"PCCC 1-B";"525205";"0,484";"0,039";"0,815";"9";"0,066";"0,516";"0,013";"2,540";"In use"
"";"C6000-A:C1";"ASPARTATE TRANSAMINASE";"PCCC 1";"525205";"44,700";"2,700";"-0,415";"43";"-0,025";"43,579";"0,786";"1,804";"In use"
"";"C6000-A:C1";"ASPARTATE TRANSAMINASE";"PCCC 2";"535719";"143,000";"9,000";"-0,690";"42";"-0,043";"136,790";"2,683";"1,961";"In use"
